artist,artistID,song,withArtist,withID
,9784,Skit - 생방송 TV연예 (Feat. 서경석),라이머,6468
,650832,"어떡해 (feat. 박경),SWING (Feat. 박경),Y.O.U (Feat. 박경 Of 블락비)","최낙타,해이 (HAEE),김조한","746466,1624774,1873"
,859669,"나와 (With J;KEY, 크래커),나와 (With J;KEY, 크래커)","롱디 (LONG:D),롱디 (LONG:D)","758334,758334"
,556562,Good Luck (Feat. 이성찬),이진주,1757986
,11538,"열두 달이 봄 같애 (Feat. MC몽),Far Away (Feat. MC 몽),러브119 (Feat. MC몽),즉흥여행 (Feat. MC몽),My Bro (Feat. MC몽,Crown J,허우진,프라임,인태,미료,여정,보행,효진),I Love U Oh Thank U (With MC몽)","김원주 (2F),브라운아이드걸스,케이윌,윤종신,MC몽,김태우","576751,181694,175139,437,11538,182430"
,108359,"Mystic Puzzle (Feat. TBNY),야바위 (Feat. TBNY),Open M.I.C. (Feat. 은지원, 다이나믹듀오, TBNY, Tweak)","미스틱 퍼즐,리쌍,에픽하이 (EPIK HIGH)","234066,103289,108356"
,234066,,,
,103289,"77학개론 (Feat. 리쌍, 김진표),지금이 미래야 (Feat. 리쌍),애주가 (Feat. 리쌍),Rainbow (Feat. 개리-리쌍)","싸이 (PSY),아스트로 비츠,싸이 (PSY),BMK","3865,6504,3865,36142"
,749129,,,
,44952,,,
,3614,"Ballin' 2k3 (Feat. D.O.),사랑이 저만치 가네 (Feat. 이현도),Hiphop정신(精神) (Feat. 이현도)","주석,김범수,김성재","4326,6502,5136"
,6017,"사랑과 우정 사이 (With 김연우) (피노키오),칵테일 사랑 (Feat. 김연우),My Ghetto (Feat. 김연우),그럴때마다 (With 이장우, 조규찬, 김연우, 조삼희, 김창원, 유희열),언젠가 우리 다시 만나면 (Feat. 김연우),마지막 노래 (Feat. 김연우)","김경호,서영은,에픽하이 (EPIK HIGH),윤종신,토이,토이","895,3033,108356,437,100014,100014"
,1121,"Drive Me To The Moon (Feat. 박지윤),숲으로 걷는 아이 (Duet With 박지윤),선물 (Feat. 박지윤)","남수림,박아셀,에픽하이 (EPIK HIGH)","402524,548715,108356"
,100014,,,
,34872,"와인이 너무 좋아 (Feat.강승원, 김혜연)",흐린 후 갬,859916
,3865,인스턴트 (With 싸이),김태우,182430
,1742,"City Of Mine (Feat. 에릭, 이민우),Green Wave (Feat. M이민우),지우개 (Feat. M),The Days (Duet. 이민우)","이현도,ILLSON,SAT & M,신혜성","3614,164737,208192,1741"
,227595,"물론 (Feat. 지아),Sorrow (Feat. 지아),하루종일 (Feat. 지아),Let's Talk About (Feat. 지아),연애의조건 (Feat. 지아)","KCM,은표,해수,써니힐,KCM","45995,709914,11961,229494,45995"
,1191,"전설 속의 사랑 (With 박효신),나 이러고 살아 (With 박효신),나 이러고 살아 (With 박효신) (Inst.),Love & Heaven (With 박효신),한여름 눈사람 (Feat. 박효신),기도 (Feat. 박효신),기도 (Feat. 박효신),With You (Duet. 박효신),그 보다 더 (Feat. 박효신),고속도로 로망스 (Acoustic Ver.) (Feat. 박효신, 윤도현, 김종국 & 조PD),사랑이 올 때... (Duet With 박효신),전설속의 사랑 (Duet. 박효신),천국의 연인들 (Feat. 박효신),그 보다 더 (Feat. 박효신),It's Gonna Be Rolling (Duet. 박효신),전설 속의 사랑 (Duet With 박효신)","박화요비,스컬,스컬,전소영,김형중,MC몽,MC몽,리사,김현철,김장훈,린,박화요비,전소영,김현철,이소라,박화요비","2017,543912,543912,7403,5247,11538,11538,48312,1424,1081,8530,2017,7403,1424,983,2017"
,100073,남자이야기-My Way (Feat. Honey Family),리쌍,103289
,190493,"Love Treatment (Feat. 언터쳐블),바라지 않았어 (Feat. Untouchable),흐르고 멈추다 (Feat. Untouchable)","레이디 제인,조 브라운,박화요비","497743,240208,2017"
,624171,,,
,2757382,"Power Rangers (feat. Mudd the student, Tyrone Laurent),직진 (feat. Omega Sapien, Mudd the student, Lil Cherry, GOLDBUUDA)","GOLDBUUDA,대왕트래블","2191798,2908815"
,181785,"One Piece (Feat. 아웃사이더),100% (feat. 아웃사이더),100% (feat. 아웃사이더),쿨한 척 (Feat. MARCO, Outsider) (Remastered),Think Of You (Feat. 아웃사이더),죽은시계 (Feat. 아웃사이더),Baby Gone Baby Gone (Feat. 아웃사이더),넌 몰라 (Feat. Outsider, Kuan),립스틱 (Feat. J'kyun, Outsider, Zion.T),Represent Me (Feat. Addspeech, Outsider, Lonie J, 연륜, Crave, DJ R2)","정동수(ARKAY),XUM,XUM,제이켠 (J'Kyun),빌드업 (BLDP),황인선,박화요비,LMNOP,LMNOP,플라미니","697928,2886783,2886783,174693,2755887,774212,2017,441696,441696,329766"
,258369,"돌담길 (Feat. 스탠딩에그, 하림, 조정치),우주여행 (Feat. 조정치),PPP(with.조정치),아무튼 치얼스 (With 조정치),아무튼 치얼스 (With 조정치) (Inst.),그놈의 별 (With 조정치),니가 웃으면 좋아 (Feat. 조정치),당신의 계절은 무엇입니까. (With 조정치),화분 (Feat. 김필, 조정치),흑백 (Feat. 조정치),찻잔에 (With. 조정치),찻잔에 (With 조정치),눈물의 성분 (Feat. 조정치)","도토리,라이너스의 담요,김은비 (EB),딕펑스 (DICKPUNKS),딕펑스 (DICKPUNKS),SURAN (수란),잘혜준,프롬,이루펀트,윤슬,최강희,최강희,윤종신","2974858,107560,8820,454254,454254,792765,39578,570302,182366,770169,254481,254481,437"
